top_depth,base_depth,thickness_ft,angle_deg,gr_mean,gr_std,shape,symmetrical,serrated,WELL
9107.0,9242.5,135.5,11.474171642888336,71.43894705882354,23.820429929211844,CYLINDRICAL,False,False,SRN-9
9242.5,9391.0,148.5,-64.60723770466825,54.53389496644295,25.277484088975264,BELL,True,False,SRN-9
9391.0,9805.5,414.5,41.36285239518926,83.36294530120483,7.579562458106229,FUNNEL,True,False,SRN-9
9805.5,10070.0,264.5,-49.52949322168317,66.84833320754717,24.677214668966506,BELL,True,False,SRN-9
10070.0,10214.5,144.5,46.50608265181509,92.78089620689656,4.279657483710836,FUNNEL,True,False,SRN-9
250.0,251.0,1.0,83.69443470363247,45.9137,6.004320875836002,FUNNEL,True,False,SRN-10
251.0,385.5,134.5,-33.723366473144914,49.85370296296297,10.809360072952144,BELL,True,False,SRN-10
385.5,550.0,164.5,-15.447493963715035,55.2123093939394,16.92521462896372,CYLINDRICAL,False,False,SRN-10
550.0,678.5,128.5,34.264778378569424,69.36427054263567,15.667901923749492,FUNNEL,False,False,SRN-10
678.5,768.5,90.0,5.051382131223826,59.75575414364641,15.058911782968721,CYLINDRICAL,False,False,SRN-10
768.5,949.5,181.0,43.03106248868013,70.76827575757575,17.740431099925473,FUNNEL,True,False,SRN-10
949.5,1083.0,133.5,-36.67068389191042,54.82464034334764,20.06209305383817,BELL,True,False,SRN-10
1083.0,1291.5,208.5,41.346066800606955,61.50381531100478,14.327865606599273,FUNNEL,True,False,SRN-10
1291.5,1498.0,206.5,-46.554067915775875,35.44856256038647,20.67107102132988,BELL,True,False,SRN-10
1498.0,1622.5,124.5,44.45038811189856,49.1404116,14.423668994285244,FUNNEL,True,False,SRN-10
1622.5,1748.0,125.5,-44.543768799433906,32.41448849206349,16.54674433879364,BELL,True,False,SRN-10
1748.0,1856.5,108.5,25.954398289258314,34.08436100917431,16.817866564738562,CYLINDRICAL,False,False,SRN-10
1856.5,2069.0,212.5,-26.421284479675663,32.49678779342723,17.120495783224825,CYLINDRICAL,False,False,SRN-10
2069.0,2240.5,171.5,-10.11359542334296,40.288215988372095,19.868074592309828,CYLINDRICAL,False,False,SRN-10
2240.5,2345.5,105.0,39.68438050080312,39.6326971563981,17.44730294747957,FUNNEL,False,False,SRN-10
